JobTitle__lightlycleaned,RoleMultichoice_composite,TimeWorked,TimeDataPrep,TimeDataAnalysis,TimeIdeating,TimeProducingViz,TimeOtherVizTasks,OtherVizTasks__,altID
Consultant / Founder and Director,Analyst,50–59 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,5 hours or less,Brainstorms with teams and clients on strategic messaging around these visuals,678
Information designer,,30–39 hours,None,6–10 hours,11–20 hours,11–20 hours,5 hours or less,Brainstorming with team and scientists,679
Business Analytics and Enablement Manager,"Leadership (Manager, Director, VP, etc.)",30–39 hours,6–10 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,"Brainstorming about charts, data story",680
Visualization developer,Developer,40–49 hours,5 hours or less,11–20 hours,5 hours or less,11–20 hours,6–10 hours,BI development,681
Data Visualisation Director,Analyst,60–69 hours,11–20 hours,6–10 hours,5 hours or less,5 hours or less,11–20 hours,Automation,682
Freelance - Data Expert,None of these describes my role,40–49 hours,6–10 hours,21–30 hours,None,5 hours or less,5 hours or less,Automation,683
senior data scientist,Developer,40–49 hours,11–20 hours,5 hours or less,5 hours or less,6–10 hours,5 hours or less,automation,684
Senior Data Analyst,Analyst,40–49 hours,6–10 hours,6–10 hours,5 hours or less,6–10 hours,5 hours or less,Automating data viz reports,685
,None of these describes my role,40–49 hours,5 hours or less,5 hours or less,5 hours or less,6–10 hours,5 hours or less,Attended a User Group.,686
Scientist/Engineer,Engineer,50–59 hours,5 hours or less,6–10 hours,6–10 hours,6–10 hours,5 hours or less,Assessing consistency,687
Professor of Psychology,Academic/Teacher,50–59 hours,5 hours or less,5 hours or less,5 hours or less,6–10 hours,5 hours or less,Asking for help on Twitter about a problem with binned axes.,688
,"Leadership (Manager, Director, VP, etc.)",40–49 hours,5 hours or less,5 hours or less,None,11–20 hours,21–30 hours,Art direction of others datavises,689
Visualization Specialist,None of these describes my role,30–39 hours,11–20 hours,5 hours or less,,5 hours or less,6–10 hours,"Arranging workshops on data visualization, coming up with descriptions of workshops, advising others on resources related to data visualization or helping with their projects as a consultant.",690
Graphics journalist,Journalist,40–49 hours,21–30 hours,6–10 hours,6–10 hours,11–20 hours,5 hours or less,Archiving,691
Data Visualization Specialist,Analyst,40–49 hours,21–30 hours,5 hours or less,None,5 hours or less,5 hours or less,Architecting data management & data flows,692
"Data Visualization, Senior Analyst",Developer,30–39 hours,11–20 hours,5 hours or less,11–20 hours,11–20 hours,6–10 hours,app design and development,693
Analyst,Analyst,30–39 hours,6–10 hours,5 hours or less,None,5 hours or less,5 hours or less,"answering questions, stakeholder management",694
Emerita Full Professor,Academic/Teacher,60–69 hours,5 hours or less,11–20 hours,None,6–10 hours,6–10 hours,Animation,695
CEO,"Leadership (Manager, Director, VP, etc.)",Fewer than 20 hours,,,,,5 hours or less,Analyzing a data viz project with feedback to the team,696
Visual analytics consultant,,40–49 hours,6–10 hours,6–10 hours,5 hours or less,6–10 hours,5 hours or less,Analytics team meetings,697
Principal Data Analyst,Analyst,50–59 hours,5 hours or less,5 hours or less,6–10 hours,6–10 hours,11–20 hours,"Administrative & Operational tasks (e.g. Server Admin, end user support, analyst best practice, etc)",698
President,"Leadership (Manager, Director, VP, etc.)",40–49 hours,6–10 hours,5 hours or less,5 hours or less,6–10 hours,5 hours or less,Administrative,699
"Senior Product Designer, Data Visualization",Designer,30–39 hours,5 hours or less,5 hours or less,5 hours or less,21–30 hours,5 hours or less,administrative,700
"Graphic Designer, Visualization, UX/UI",Designer,30–39 hours,5 hours or less,5 hours or less,6–10 hours,5 hours or less,5 hours or less,Administration/Jira tasking,701
Senior Research Assistant,Scientist,40–49 hours,6–10 hours,6–10 hours,None,6–10 hours,6–10 hours,"Administration, meetings",702
Dept. Head Data Visualization,"Leadership (Manager, Director, VP, etc.)",40–49 hours,5 hours or less,5 hours or less,6–10 hours,11–20 hours,6–10 hours,Administration,703
Senior BI/BA Specialist,Analyst,40–49 hours,11–20 hours,21–30 hours,5 hours or less,21–30 hours,5 hours or less,Admin work for tools,704
,Developer,30–39 hours,6–10 hours,5 hours or less,5 hours or less,5 hours or less,11–20 hours,adhoc tasks,705
Senior Data Analyst,Analyst,50–59 hours,11–20 hours,5 hours or less,5 hours or less,11–20 hours,5 hours or less,Additional research,706
UX Designer,Designer,30–39 hours,6–10 hours,6–10 hours,5 hours or less,5 hours or less,None,"Acquiring the data files, communicating with stakeholders",707
,,Fewer than 20 hours,5 hours or less,5 hours or less,6–10 hours,6–10 hours,5 hours or less,Accounting tasks,708
PhD Student,Engineer,40–49 hours,None,5 hours or less,5 hours or less,11–20 hours,11–20 hours,Accessibility,709
,Engineer,20–29 hours,None,None,5 hours or less,None,6–10 hours,accessibility,710
BI Manager,"Leadership (Manager, Director, VP, etc.)",40–49 hours,5 hours or less,11–20 hours,5 hours or less,5 hours or less,6–10 hours,Access Control and Environment Setup,711
M&E,,40–49 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,5 hours or less,.,712
BI Consultant,Engineer,40–49 hours,11–20 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,...,713
Student,Student,Fewer than 20 hours,5 hours or less,6–10 hours,None,5 hours or less,5 hours or less,xys,714
System Analyst,Analyst,40–49 hours,21–30 hours,11–20 hours,5 hours or less,5 hours or less,5 hours or less,30,715
cartographer,Cartographer,40–49 hours,5 hours or less,5 hours or less,None,None,5 hours or less,5,716
Postgraduate student (PhD student),Student,40–49 hours,5 hours or less,5 hours or less,None,5 hours or less,5 hours or less,3,717
Client experience leader,,50–59 hours,5 hours or less,5 hours or less,6–10 hours,5 hours or less,5 hours or less,2,718
Senior Data Scientist,Scientist,70 or more hours,More than 30 hours,More than 30 hours,None,5 hours or less,None,,719
Tech Lead,Developer,70 or more hours,5 hours or less,6–10 hours,5 hours or less,11–20 hours,,,720
Founder,,70 or more hours,11–20 hours,6–10 hours,5 hours or less,6–10 hours,5 hours or less,,721
Researcher,Developer,70 or more hours,6–10 hours,6–10 hours,5 hours or less,5 hours or less,None,,722
Data editor,Academic/Teacher,70 or more hours,More than 30 hours,More than 30 hours,21–30 hours,More than 30 hours,,,723
Data Analyst,,70 or more hours,21–30 hours,6–10 hours,6–10 hours,6–10 hours,,,724
Data Analyst & Trainer,,70 or more hours,11–20 hours,5 hours or less,5 hours or less,6–10 hours,None,,725
Service Delivery Manager,,70 or more hours,6–10 hours,6–10 hours,5 hours or less,5 hours or less,None,,726
Data Fellow Consultant,"Leadership (Manager, Director, VP, etc.)",70 or more hours,None,5 hours or less,5 hours or less,6–10 hours,None,,727
Director of a Dataviz team,"Leadership (Manager, Director, VP, etc.)",70 or more hours,None,5 hours or less,6–10 hours,6–10 hours,5 hours or less,,728
Head of research,Journalist,70 or more hours,11–20 hours,11–20 hours,6–10 hours,21–30 hours,,,729
MEL Lead,Analyst,70 or more hours,11–20 hours,More than 30 hours,6–10 hours,21–30 hours,None,,730
Consultant,Analyst,70 or more hours,5 hours or less,6–10 hours,6–10 hours,6–10 hours,None,,731
Data Visualization Developer,,70 or more hours,11–20 hours,6–10 hours,11–20 hours,11–20 hours,None,,732
BI Developer,Developer,70 or more hours,6–10 hours,6–10 hours,5 hours or less,11–20 hours,5 hours or less,,733
Data Analyst,Analyst,70 or more hours,21–30 hours,6–10 hours,5 hours or less,21–30 hours,None,,734
Co-founder,"Leadership (Manager, Director, VP, etc.)",70 or more hours,11–20 hours,6–10 hours,21–30 hours,6–10 hours,,,735
Senior graphic designer,"Leadership (Manager, Director, VP, etc.)",70 or more hours,,,,21–30 hours,,,736
Urban and Environmental Plannsr,,70 or more hours,6–10 hours,6–10 hours,5 hours or less,11–20 hours,11–20 hours,,737
Associate Professor,Academic/Teacher,70 or more hours,21–30 hours,21–30 hours,21–30 hours,21–30 hours,5 hours or less,,738
Financial Analyst,,70 or more hours,5 hours or less,21–30 hours,None,None,None,,739
PhD Candidate,Student,70 or more hours,5 hours or less,5 hours or less,6–10 hours,5 hours or less,,,740
Analytics Consultant,Developer,60–69 hours,6–10 hours,6–10 hours,11–20 hours,21–30 hours,None,,741
Director of M&E,"Leadership (Manager, Director, VP, etc.)",60–69 hours,5 hours or less,5 hours or less,6–10 hours,5 hours or less,None,,742
Senior Graphic Designer,Designer,60–69 hours,5 hours or less,5 hours or less,5 hours or less,11–20 hours,6–10 hours,,743
Data Consultant,Analyst,60–69 hours,21–30 hours,5 hours or less,6–10 hours,6–10 hours,,,744
Chief Data Officer; Professor,"Leadership (Manager, Director, VP, etc.)",60–69 hours,5 hours or less,5 hours or less,None,5 hours or less,5 hours or less,,745
BI Analyst,,60–69 hours,More than 30 hours,None,None,None,None,,746
Principal consultant,,60–69 hours,21–30 hours,11–20 hours,5 hours or less,21–30 hours,None,,747
Business Analyst,,60–69 hours,11–20 hours,6–10 hours,None,None,11–20 hours,,748
Advisor,"Leadership (Manager, Director, VP, etc.)",60–69 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,,,749
Information management Officer,Analyst,60–69 hours,5 hours or less,5 hours or less,5 hours or less,6–10 hours,None,,750
Senior Researcher,Analyst,60–69 hours,5 hours or less,21–30 hours,None,21–30 hours,None,,751
Program Manager,"Leadership (Manager, Director, VP, etc.)",60–69 hours,6–10 hours,5 hours or less,None,5 hours or less,None,,752
Business Analyst,Analyst,60–69 hours,11–20 hours,11–20 hours,5 hours or less,5 hours or less,None,,753
Solutions Consultant,None of these describes my role,60–69 hours,5 hours or less,11–20 hours,5 hours or less,5 hours or less,,,754
president/ceo,"Leadership (Manager, Director, VP, etc.)",60–69 hours,5 hours or less,6–10 hours,None,5 hours or less,None,,755
Data Analyst,,60–69 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,5 hours or less,,756
Lead-Sales Enablement,None of these describes my role,60–69 hours,,5 hours or less,,5 hours or less,,,757
Managing Partner,"Leadership (Manager, Director, VP, etc.)",60–69 hours,None,5 hours or less,5 hours or less,5 hours or less,,,758
GIS Specialist,Designer,60–69 hours,11–20 hours,6–10 hours,11–20 hours,11–20 hours,21–30 hours,,759
Professor,Academic/Teacher,60–69 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,None,,760
Assistant Professor,Academic/Teacher,60–69 hours,6–10 hours,6–10 hours,5 hours or less,5 hours or less,None,,761
Founder/CEO,,60–69 hours,None,6–10 hours,11–20 hours,More than 30 hours,None,,762
Professor,Academic/Teacher,60–69 hours,6–10 hours,5 hours or less,5 hours or less,5 hours or less,None,,763
Associate Professor,Academic/Teacher,60–69 hours,5 hours or less,5 hours or less,None,None,None,,764
Business Librarian,Academic/Teacher,60–69 hours,None,5 hours or less,5 hours or less,None,None,,765
Data Integration Specialist,Scientist,50–59 hours,11–20 hours,6–10 hours,5 hours or less,6–10 hours,,,766
Vice President,"Leadership (Manager, Director, VP, etc.)",50–59 hours,5 hours or less,None,5 hours or less,6–10 hours,None,,767
Senior Content Developer,Teacher,50–59 hours,6–10 hours,5 hours or less,5 hours or less,6–10 hours,None,,768
CEO,"Leadership (Manager, Director, VP, etc.)",50–59 hours,6–10 hours,6–10 hours,11–20 hours,21–30 hours,,,769
